stno,yyyymmddhh,year,month,day,hour,PS01,PS02,TX01,RH01,WD01,WD02,PP01,SS01,SS02,CD11,altitude,longitude,latitude,start_time,number_of_hour,issue_time,APCP,DSWRF,HCDC,LCDC,MCDC,PRES,PRMSL,RH,TMP,UGRD,VGRD
001,2017100322,2017,10,3,22,648.5,3208.2,6.2,76,5.0,110.0,0.0,-9999.0,0.0,-9999,3844.8,120.9595,23.4876,2017-10-03 14:00:00 UTC,6622,2017-09-27 12:00:00 UTC,57.96666666666666,0.0,81.88888888888887,0.0,0.0,36580.71666666667,102365.66666666669,73.71111111111112,283.7022222222222,-0.3588888888888889,1.09
001,2017100323,2017,10,3,23,648.3,3203.3,6.2,76,0.4,60.0,0.0,-9999.0,0.0,-9999,3844.8,120.9595,23.4876,2017-10-03 15:00:00 UTC,6623,2017-09-27 12:00:00 UTC,57.96666666666666,0.0,80.77777777777777,0.0,0.0,36609.31666666666,102466.11111111114,75.23333333333333,283.18222222222226,0.3055555555555555,0.2266666666666667
001,2017100324,2017,10,3,24,647.8,3199.0,6.4,79,2.7,90.0,0.0,-9999.0,0.0,-9999,3844.8,120.9595,23.4876,2017-10-03 16:00:00 UTC,6624,2017-09-27 12:00:00 UTC,57.96666666666666,0.0,60.111111111111114,0.0,0.0,36607.54444444442,102498.88888888886,76.44444444444446,282.72333333333336,-0.22555555555555554,0.0966666666666667
001,2017100401,2017,10,4,1,647.3,3196.0,5.7,85,6.7,110.0,0.0,-9999.0,0.0,-9999,3844.8,120.9595,23.4876,2017-10-03 17:00:00 UTC,6625,2017-09-27 12:00:00 UTC,57.96666666666666,0.0,66.0,0.0,8.055555555555555,36614.53333333334,102497.44444444444,70.58888888888887,282.19,-1.5477777777777781,1.3866666666666667
001,2017100402,2017,10,4,2,647.0,3193.7,6.2,81,8.4,120.0,0.0,-9999.0,0.0,-9999,3844.8,120.9595,23.4876,2017-10-03 18:00:00 UTC,6626,2017-09-27 12:00:00 UTC,57.96666666666666,0.0,77.44444444444446,0.0,0.9555555555555556,36573.58333333334,102401.55555555556,68.76666666666668,282.15,-0.8377777777777778,0.7511111111111108
001,2017100403,2017,10,4,3,647.0,3194.9,6.2,82,5.4,110.0,0.0,-9999.0,0.0,-9999,3844.8,120.9595,23.4876,2017-10-03 19:00:00 UTC,6627,2017-09-27 12:00:00 UTC,57.96666666666666,0.0,79.11111111111114,0.0,0.0,36571.06666666666,102359.33333333331,65.94281111111111,282.39777777777783,-1.0811111111111111,1.4211111111111108
001,2017100404,2017,10,4,4,646.8,3192.7,6.9,82,5.7,100.0,0.0,-9999.0,0.0,-9999,3844.8,120.9595,23.4876,2017-10-03 20:00:00 UTC,6628,2017-09-27 12:00:00 UTC,57.96666666666666,0.0,87.33333333333331,0.0,0.07777777777777779,36619.54444444445,102533.33333333331,68.05555555555553,281.97,0.8644444444444445,0.9855555555555556
001,2017100405,2017,10,4,5,646.9,3197.4,6.5,84,6.8,110.0,0.0,-9999.0,0.0,5,3844.8,120.9595,23.4876,2017-10-03 21:00:00 UTC,6629,2017-09-27 12:00:00 UTC,57.96666666666666,0.0,96.33333333333331,0.0,2.0888888888888895,36600.03333333333,102418.88888888886,62.75555555555553,282.5733333333334,-0.7,0.6744444444444444
001,2017100406,2017,10,4,6,646.9,3198.5,7.0,91,8.4,110.0,0.0,0.0,0.0,-9999,3844.8,120.9595,23.4876,2017-10-03 22:00:00 UTC,6630,2017-09-27 12:00:00 UTC,57.96666666666666,0.8122222222222221,86.11111111111109,0.0,17.022222222222222,36614.00555555556,102523.0,73.27777777777777,282.7911111111111,0.8788888888888888,1.6566666666666667
001,2017100407,2017,10,4,7,647.3,3203.0,7.7,95,4.1,100.0,-9998.0,0.0,0.0,-9999,3844.8,120.9595,23.4876,2017-10-03 23:00:00 UTC,6631,2017-09-27 12:00:00 UTC,57.96666666666666,221.12222222222226,83.88888888888887,0.0,0.0,36615.75,102469.88888888886,67.65555555555554,286.8588888888888,-1.2511111111111113,1.346666666666667
